 LaLiga Santander, Real Madrid, Cristiano Ronaldo, Portugal
 Scottish Premiership, Celtic, Leigh Griffiths, Scotland
 Premier League, Manchester City, Raheem Sterling, England
 Bundesliga, Bayer 04 Leverkusen, Karim Bellarabi, Germany
 Calcio A, Roma, Alessandro Florenzi, Italy
 LaLiga Santander, Real Sociedad, Iñigo Martínez, Spain
 Premier League, Chelsea, Michy Batshuayi, Belgium
 LaLiga Santander, FC Barcelona, Samuel Umtiti, France
 LaLiga Santander, Real Madrid, Mateo Kovačić, Croatia
 LaLiga Santander, Sevilla FC, Franco Vázquez, Italy
 Bundesliga, 1. FC Köln, Jonas Hector, Germany
 Premier League, Leicester City, Jamie Vardy, England
 LaLiga Santander, Villarreal CF, Samu Castillejo, Spain
 Ligue 1, Olympique de Marseille, Patrice Evra, France
 EFL Championship, Nottingham Forest, Ross McCormack, Scotland
 LaLiga Santander, Real Sociedad, Carlos Vela, Mexico
 Liga NOS, FC Porto, Miguel Layún, Mexico
 Ukrayina Liha, Shakhtar Donetsk, Marlos, Brazil
 Bundesliga, Borussia Dortmund, Shinji Kagawa, Japan
 Premier League, Everton, Idrissa Gueye, Senegal
 Premier League, Southampton, Manolo Gabbiadini, Italy
 Premier League, Arsenal, Alex Oxlade-Chamberlain, England
 LaLiga Santander, Villarreal CF, Cédric Bakambu, Congo DR
 Bundesliga, 1. FC Köln, Timo Horn, Germany
 Eredivisie, Ajax, Bertrand Traoré, Burkina Faso
 Hyundai A-League, Perth Glory, Diego Castro, Spain
 Bundesliga, Hamburger SV, Nicolai Müller, Germany
 Calcio A, Sampdoria, Luis Muriel, Colombia
 Premier League, Arsenal, Lucas Pérez, Spain
 Premier League, Southampton, Dušan Tadić, Serbia
 Ligue 1, LOSC Lille, Nicolas De Préville, France
 Bundesliga, Hertha Berlin, John Brooks, United States
 Bundesliga, FC Schalke 04, Nabil Bentaleb, Algeria
 Calcio A, Lazio, Sergej Milinković-Savić, Serbia
 Premier League, Burnley, Tom Heaton, England
 Bundesliga, FC Schalke 04, Guido Burgstaller, Austria
 Calcio A, Sassuolo, Gregoire Defrel, France
 LaLiga Santander, Sevilla FC, Gabriel Mercado, Argentina
 Sogaz Russian Football Championship, Zenit St. Petersburg, Danny, Portugal
 Liga NOS, SL Benfica, Júlio César, Brazil
 Calcio A, Juventus, Stephan Lichtsteiner, Switzerland
 Ligue 1, FC Girondins de Bordeaux, Jérémy Toulalan, France
 Calcio A, Fiorentina, Gonzalo Rodríguez, Argentina
 Calcio A, Fiorentina, Borja Valero, Spain
 Ligue 1, Olympique de Marseille, Lassana Diarra, France
 Premier League, Everton, Ashley Williams, Wales
 Premier League, Southampton, José Fonte, Portugal
 Premier League, Chelsea, Asmir Begović, Bosnia and Herzegovina
 Bundesliga, Bayer 04 Leverkusen, Lars Bender, Germany
 Süper Lig, Galatasaray SK, Fernando Muslera, Uruguay
 Liga NOS, FC Porto, Yacine Brahimi, Algeria
 LaLiga Santander, Villarreal CF, Mateo Musacchio, Argentina
 Men's National, Chelsea, Oscar, Brazil
 Calcio A, Inter, Gary Medel, Chile
 Ligue 1, Paris Saint-Germain, Serge Aurier, Côte d'Ivoire
 Calcio A, Genoa, Mattia Perin, Italy
 Premier League, Manchester City, Nolito, Spain
 Calcio A, Roma, Francesco Totti, Italy
 Premier League, Everton, Gareth Barry, England
 Major League Soccer, New York City Football Club, Andrea Pirlo, Italy
 Calcio A, Chievo Verona, Stefano Sorrentino, Italy
 EFL Championship, Derby County, Darren Bent, England
 LaLiga Santander, Málaga CF, Carlos Idriss Kameni, Cameroon
 Bundesliga, VfL Wolfsburg, Diego Benaglio, Switzerland
 Süper Lig, Galatasaray SK, Selçuk İnan, Turkey
 Ligue 1, Montpellier Hérault SC, Hilton, Brazil
 Major League Soccer, Toronto FC, Michael Bradley, United States
 Premier League, Swansea City, Llorente, Spain
 Bundesliga, VfL Wolfsburg, Jakub Błaszczykowski, Poland
 Premier League, Burnley, Steven Defour, Belgium
 Premier League, Chelsea, Victor Moses, Nigeria
 Major League Soccer, Montreal Impact, Ignacio Piatti, Argentina
 Premier League, West Ham United, André Ayew, Ghana
 Ligue 1, Olympique Lyonnais, Mathieu Valbuena, France
 Premier League, West Ham United, Angelo Ogbonna, Italy
 Calcio A, Roma, Diego Perotti, Argentina
 Liga NOS, Sporting CP, Adrien Silva, Portugal
 Premier League, West Ham United, Manuel Lanzini, Argentina
 Bundesliga, 1. FSV Mainz 05, Yunus Mallı, Turkey
 LaLiga Santander, Villarreal CF, Jaume Costa, Spain
 LaLiga Santander, Valencia CF, Montoya, Spain
 Bundesliga, VfL Wolfsburg, Jeffrey Bruma, Holland
 Premier League, Liverpool, Joel Matip, Cameroon
 LaLiga Santander, Valencia CF, Aymen Abdennour, Tunisia
 Premier League, Crystal Palace, Wilfried Zaha, England
 Calcio A, Fiorentina, Josip Iličić, Slovenia
 Ligue 1, AS Monaco Football Club SA, Djibril Sidibé, France
 Calcio A, Napoli, Lorenzo Tonelli, Italy
 Calcio A, Fiorentina, Milan Badelj, Croatia
 LaLiga Santander, FC Barcelona, Rafinha, Brazil
 Calcio A, Napoli, Arkadiusz Milik, Poland
 Eredivisie, PSV, Jetro Willems, Holland
 Ligue 1, OGC Nice, Alassane Pléa, France
 LaLiga Santander, Atlético Madrid, Saúl, Spain
 Calcio A, Juventus, Daniele Rugani, Italy
 Calcio A, Fiorentina, Federico Bernardeschi, Italy
 Premier League, Leicester City, Islam Slimani, Algeria
 Raiffeisen Super League, FC Lausanne-Sport, Taye Taiwo, Nigeria
 Eredivisie, AZ, Tim Krul, Holland
 Bundesliga, Hamburger SV, Kyriakos Papadopoulos, Greece
 LaLiga Santander, Villarreal CF, Nicola Sansone, Italy
 Calcio A, Milan, Suso, Spain
 Premier League, Arsenal, Héctor Bellerín, Spain
 LaLiga Santander, Sevilla FC, Luciano Vietto, Argentina
 EFL League One, Bury, James Vaughan, England
 LaLiga Santander, Sevilla FC, Escudero, Spain
 Ligue 1, Paris Saint-Germain, Thiago Motta, Italy
 Major League Soccer, Orlando City Soccer Club, Kaká, Brazil
 Calcio A, Lazio, Federico Marchetti, Italy
 Premier League, Manchester City, Pablo Zabaleta, Argentina
 Bundesliga, Borussia Mönchengladbach, Raffael, Brazil
 LaLiga Santander, Atlético Madrid, Gabi, Spain
 Calcio A, Napoli, Raúl Albiol, Spain
 Premier League, Manchester City, Bacary Sagna, France
 LaLiga Santander, Sevilla FC, Samir Nasri, France
 Calcio A, Sampdoria, Emiliano Viviano, Italy
 Liga NOS, SL Benfica, Jardel, Brazil
 Bundesliga, Stoke City, Bojan, Spain
 Premier League, Manchester United, Morgan Schneiderlin, France
 Men's National, Zenit St. Petersburg, Axel Witsel, Belgium
 Bundesliga, Borussia Dortmund, Sven Bender, Germany
 LaLiga Santander, Athletic Club, Beñat, Spain
 Süper Lig, Fenerbahçe SK, Simon Kjær, Denmark
 Sogaz Russian Football Championship, Lokomotiv Moscow, Vedran Ćorluka, Croatia
 LaLiga Santander, Sevilla FC, Adil Rami, France
 Premier League, Liverpool, Mamadou Sakho, France
 Premier League, Bournemouth, Jack Wilshere, England
 LaLiga Santander, Valencia CF, Parejo, Spain
 Premier League, Liverpool, Dejan Lovren, Croatia
 Premier League, Stoke City, Jack Butland, England
 Premier League, Liverpool, Loris Karius, Germany
 LaLiga Santander, Atlético Madrid, Stefan Savić, Montenegro
 Calcio A, Sassuolo, Domenico Berardi, Italy
 Calcio A, Atalanta, Marco Sportiello, Italy
 Premier League, Manchester United, Eric Bailly, Côte d'Ivoire
 Ligue 1, Stade Malherbe Caen, Rémy Vercoutre, France
 Campeonato Scotiabank, Colo-Colo, Jaime Valdés, Chile
 Österreichische Fußball-Bundesliga, FC Red Bull Salzburg, Jonatan Soriano, Spain
 LaLiga Santander, RCD Espanyol, Reyes, Spain
 Primera División, Racing Club, Lisandro López, Argentina
 LaLiga Santander, Real Sociedad, Xabi Prieto, Spain
 LaLiga Santander, SD Eibar, Iván Ramis, Spain
 Sogaz Russian Football Championship, CSKA Moscow, Vasiliy Berezutskiy, Russia
 Ligue 1, Olympique Lyonnais, Christophe Jallet, France
 LaLiga Santander, RC Celta, Giuseppe Rossi, Italy
 Calcio A, Milan, Gabriel Paletta, Italy
 Major League Soccer, LA Galaxy, Giovani dos Santos, Mexico
 LaLiga Santander, Valencia CF, Mario Suárez, Spain
 LaLiga Santander, UD Las Palmas, Javi Varas, Spain
 Bundesliga, SV Werder Bremen, Zlatko Junuzović, Austria
 Calcio A, Sassuolo, Alessandro Matri, Italy
 Premier League, Stade Rennais FC, Kamil Grosicki, Poland
 Ligue 1, AS Saint-Étienne, Henri Saivet, Senegal
 LaLiga Santander, RCD Espanyol, Pablo Piatti, Argentina
 Sogaz Russian Football Championship, Spartak Moscow, Ivelin Popov, Bulgaria
 Raiffeisen Super League, FC Basel, Serey Dié, Côte d'Ivoire
 Premier League, Everton, Yannick Bolasie, Congo DR
 LaLiga Santander, Athletic Club, Susaeta, Spain
 LaLiga Santander, Athletic Club, Muniain, Spain
 Calcio A, Torino, Iago Falqué, Spain
 Premier League, West Ham United, Michail Antonio, England
 Liga NOS, SL Benfica, Eduardo Salvio, Argentina
 Ligue 1, LOSC Lille, Sébastien Corchia, France
 Bundesliga, TSG 1899 Hoffenheim, Kevin Vogt, Germany
 Ligue 1, Toulouse Football Club, Martin Braithwaite, Denmark
 LaLiga Santander, Villarreal CF, Víctor Ruíz, Spain
 LaLiga Santander, Real Sociedad, Willian José, Brazil
 Bundesliga, Bayer 04 Leverkusen, Kevin Kampl, Slovenia
 Premier League, West Bromwich Albion, Nacer Chadli, Belgium
 Bundesliga, Hertha Berlin, Vladimír Darida, Czech Republic
 Premier League, Leicester City, Ahmed Musa, Nigeria
 Bundesliga, Borussia Mönchengladbach, Jannik Vestergaard, Denmark
 Premier League, Southampton, Virgil van Dijk, Holland
 Eredivisie, Feyenoord, Terence Kongolo, Holland
 LaLiga Santander, UD Las Palmas, Roque Mesa, Spain
 LaLiga Santander, RC Deportivo, Fayçal Fajr, Morocco
 LaLiga Santander, Real Madrid, Lucas Vázquez, Spain
 LIGA Bancomer MX, Querétaro, Tiago Volpi, Brazil
 Bundesliga, FC Schalke 04, Leon Goretzka, Germany
 Liga NOS, SL Benfica, Grimaldo, Spain
 Bundesliga, Bayer 04 Leverkusen, Jonathan Tah, Germany
 EFL Championship, Newcastle United, Aleksandar Mitrović, Serbia
 LaLiga Santander, Real Madrid, Marco Asensio, Spain
 Premier League, Manchester United, Marcus Rashford, England
 Primera División, Club Atlético Banfield, Renato Civelli, Argentina
 Major League Soccer, Seattle Sounders FC, Clint Dempsey, United States
 Major League Soccer, New York Red Bulls, Bradley Wright-Phillips, England
 Major League Soccer, Portland Timbers, Diego Valeri, Argentina
 LaLiga Santander, Granada CF, Adrián Ramos, Colombia
 Premier League, Liverpool, Jordan Henderson, England
 Bundesliga, TSG 1899 Hoffenheim, Sandro Wagner, Germany
 LaLiga Santander, Villarreal CF, Mario Gaspar, Spain
 Calcio A, Roma, Antonio Rüdiger, Germany
 Premier League, Manchester City, Leroy Sané, Germany
 Premier League, Manchester City, Gabriel Jesus, Brazil
 LaLiga Santander, Atlético Madrid, Tiago, Portugal
 Alka Superliga, LA Galaxy, Steven Gerrard, England
 Premier League, Manchester United, Michael Carrick, England
 Alka Superliga, Montreal Impact, Didier Drogba, Côte d'Ivoire
 LaLiga Santander, Atlético Madrid, Moyá, Spain
 LaLiga Santander, FC Barcelona, Jérémy Mathieu, France
 LaLiga Santander, Real Betis, Rubén Castro, Spain
 Bundesliga, Hamburger SV, René Adler, Germany
 Calcio A, Bologna, Antonio Mirante, Italy
 Bundesliga, FC Schalke 04, Klaas-Jan Huntelaar, Holland
 Calcio A, Roma, Thomas Vermaelen, Belgium
 LaLiga Santander, Sevilla FC, Michael Krohn-Dehli, Denmark
 Premier League, Crystal Palace, Yohan Cabaye, France
 Premier League, Tottenham Hotspur, Erik Lamela, Argentina
 LaLiga Santander, Athletic Club, Raúl García, Spain
 Premier League, Everton, Kevin Mirallas, Belgium
 Calcio A, Fiorentina, Davide Astori, Italy
 LaLiga Santander, Atlético Madrid, Augusto Fernández, Argentina
 Bundesliga, VfL Wolfsburg, Vieirinha, Portugal
 Premier League, Arsenal, Nacho Monreal, Spain
 LaLiga Santander, Sevilla FC, Benoît Trémoulinas, France
 Premier League, Crystal Palace, Loïc Rémy, France
 Ligue 1, Olympique Lyonnais, Mapou Yanga-M'Biwa, France
 LaLiga Santander, Athletic Club, Mikel San José, Spain
 Premier League, Leicester City, Ron-Robert Zieler, Germany
 Calcio A, Milan, Keisuke Honda, Japan
 Süper Lig, Trabzonspor, Onur Kıvrak, Turkey
 Sogaz Russian Football Championship, Zenit St. Petersburg, Igor Smolnikov, Russia
 LaLiga Santander, Málaga CF, Camacho, Spain
 Premier League, Everton, James McCarthy, Republic of Ireland
 LaLiga Santander, Sevilla FC, Daniel Carriço, Portugal
 Premier League, Arsenal, Francis Coquelin, France
 LaLiga Santander, Athletic Club, Iturraspe, Spain
 Calcio A, Roma, Kevin Strootman, Holland
 Premier League, Stoke City, Wilfried Bony, Côte d'Ivoire
 Premier League, Liverpool, Nathaniel Clyne, England
 Premier League, Manchester United, Daley Blind, Holland
 Premier League, Watford, Roberto Pereyra, Argentina
 Ligue 1, Paris Saint-Germain, Alphonse Areola, France
 Bundesliga, Borussia Mönchengladbach, Patrick Herrmann, Germany
 Bundesliga, Borussia Dortmund, Marc Bartra, Spain
 Premier League, Everton, Ross Barkley, England
 Liga NOS, FC Porto, André André, Portugal
 Calcio A, Sassuolo, Francesco Acerbi, Italy
 Calcio A, Napoli, Allan, Brazil
 LaLiga Santander, FC Barcelona, Jasper Cillessen, Holland
 LaLiga Santander, FC Barcelona, Paco Alcácer, Spain
 Bundesliga, Bayer 04 Leverkusen, Kevin Volland, Germany
 Calcio A, Everton, Deulofeu, Spain
 Calcio A, Napoli, Jorginho, Italy
 Sogaz Russian Football Championship, Zenit St. Petersburg, Oleg Shatov, Russia
 Calcio A, Roma, Bruno Peres, Brazil
 Bundesliga, FC Bayern München, Kingsley Coman, France
 Calcio A, Napoli, Nikola Maksimović, Serbia
 Premier League, Everton, Maarten Stekelenburg, Holland
 Eredivisie, Feyenoord, Dirk Kuyt, Holland
 Belgium Pro League, Standard de Liège, Jean-François Gillet, Belgium
 Premier League, Bournemouth, Artur Boruc, Poland
 Bundesliga, FC Augsburg, Halil Altıntop, Turkey
 Bundesliga 2, Fortuna Düsseldorf, Michael Rensing, Germany
 Calcio A, Cagliari, Marco Borriello, Italy
 Ligue 1, En Avant de Guingamp, Jimmy Briand, France
 LaLiga Santander, RC Deportivo, Germán Lux, Argentina
 Raiffeisen Super League, FC Basel, Matías Emilio Delgado, Argentina
 Premier League, Middlesbrough, Negredo, Spain
 EFL Championship, Preston North End, Aiden McGeady, Republic of Ireland
 Bundesliga, Hamburger SV, Aaron Hunt, Germany
 Raiffeisen Super League, Grasshopper Club Zürich, Caio, Brazil
 EFL Championship, Aston Villa, Gabriel Agbonlahor, England
 South African FL, Kaizer Chiefs, Itumeleng Khune, South Africa
 Premier League, Tottenham Hotspur, Danny Rose, England
 Calcio A, Torino, Lorenzo De Silvestri, Italy
 Hellas Liga, Olympiacos CFP, De la Bella, Spain
 Premier League, Southampton, Fraser Forster, England
 EFL Championship, Sheffield Wednesday, Keiren Westwood, Republic of Ireland
 Bundesliga, Borussia Mönchengladbach, Fabian Johnson, United States
 Ligue 1, AS Monaco Football Club SA, Nabil Dirar, Morocco
 Calcio A, Milan, Cristian Zapata, Colombia
 Ligue 1, Football Club de Metz, Milan Biševac, Serbia
 LaLiga Santander, SD Eibar, Adrián González, Spain
 Raiffeisen Super League, BSC Young Boys, Miralem Sulejmani, Serbia
 EFL Championship, Leeds United, Pablo Hernández, Spain
 Sogaz Russian Football Championship, FC Krasnodar, Charles Kaboré, Burkina Faso
 Bundesliga, Eintracht Frankfurt, Makoto Hasebe, Japan
 Bundesliga 2, VfB Stuttgart, Simon Terodde, Germany
 LaLiga Santander, RC Celta, Facundo Roncaglia, Argentina
 Ligue 1, Angers SCO, Romain Thomas, France
 Raiffeisen Super League, FC Basel, Michael Lang, Switzerland
 Premier League, Stoke City, Joe Allen, Wales
 Premier League, Tottenham Hotspur, Kieran Trippier, England
 Premier League, Swansea City, Kyle Naughton, England
 Premier League, Stoke City, Geoff Cameron, United States
 Calcio A, Atalanta, Rafael Tolói, Brazil
 Bundesliga, Hertha Berlin, Alexander Esswein, Germany
 Bundesliga, 1. FSV Mainz 05, Danny Latza, Germany
 Calcio A, Inter, Davide Santon, Italy
 Calcio A, Empoli, Łukasz Skorupski, Poland
 Ligue 1, En Avant de Guingamp, Yannis Salibur, France
 Premier League, Hull City, Ahmed Elmohamady, Egypt
 Hellas Liga, Olympiacos CFP, Botía, Spain
 Ligue 1, Montpellier Hérault SC, Paul Lasne, France
 Bundesliga 2, VfB Stuttgart, Daniel Ginczek, Germany
 Calcio A, Cagliari, Artur Ioniţă, Moldova
 Liga NOS, SC Braga, André Pinto, Portugal
 Premier League, Burnley, Andre Gray, England
 LaLiga Santander, SD Eibar, Sergi Enrich, Spain
 Major League Soccer, D.C. United, Bill Hamid, United States
 Liga Dimayor, Atlético Nacional, Macnelly Torres, Colombia
 Bundesliga, SV Werder Bremen, Felix Wiedwald, Germany
 Premier League, Aston Villa, Jordan Ayew, Ghana
 Belgium Pro League, RSC Anderlecht, Andy Najar, Honduras
 Ligue 1, FC Girondins de Bordeaux, Nicolas Pallois, France
 Major League Soccer, Legia Warszawa, Nemanja Nikolić, Hungary
 LaLiga Santander, Real Betis, Cristiano Piccini, Italy
 Calcio A, Lazio, Felipe Anderson, Brazil
 LaLiga Santander, SD Eibar, David Juncà, Spain
 LaLiga Santander, Villarreal CF, Álvaro, Spain
 Bundesliga, 1. FC Köln, Leonardo Bittencourt, Germany
 Ligue 1, En Avant de Guingamp, Christophe Kerbrat, France
 Hellas Liga, Olympiacos CFP, Stefanos Kapino, Greece
 LaLiga Santander, Atlético Madrid, Thomas, Ghana
 EFL Championship, Newcastle United, Chancel Mbemba, Congo DR
 Ligue 1, FC Girondins de Bordeaux, Diego Rolán, Uruguay
 Primera División, Independiente, Emiliano Rigoni, Argentina
 Bundesliga, TSG 1899 Hoffenheim, Andrej Kramarić, Croatia
 Bundesliga, FC Schalke 04, Breel Embolo, Switzerland
 Liga NOS, FC Porto, Diogo Jota, Portugal
 LaLiga Santander, Málaga CF, Pablo Fornals, Spain
 Calcio A, Juventus, Marko Pjaca, Croatia
 LaLiga Santander, R. Sporting, Iván Cuéllar, Spain
 EFL Championship, Norwich City, Wes Hoolahan, Republic of Ireland
 EFL League One, Millwall, Steve Morison, Wales
 EFL Championship, Aston Villa, James Chester, Wales
 Premier League, Crystal Palace, Patrick van Aanholt, Holland
 Calcio A, Atalanta, Etrit Berisha, Albania
 Alka Superliga, Toronto FC, Víctor Vázquez, Spain
 Ligue 1, FC Nantes, Préjuce Nakoulma, Burkina Faso
 LIGA Bancomer MX, Guadalajara, Alan Pulido, Mexico
 Eredivisie, Ajax, Nick Viergever, Holland
 Ligue 1, Angers SCO, Alexandre Letellier, France
 Calcio A, Sagan Tosu, Víctor Ibarbo, Colombia
 Sogaz Russian Football Championship, CSKA Moscow, Vitinho, Brazil
 Ligue 1, Toulouse Football Club, Christopher Jullien, France
 Bundesliga, TSG 1899 Hoffenheim, Kerem Demirbay, Germany
 Sogaz Russian Football Championship, FC Rostov, Sardar Azmoun, Iran
 Major League Soccer, Atlanta United FC, Miguel Almirón, Paraguay
 Alka Superliga, Aarhus GF, Morten Rasmussen, Denmark
 Primera División, Newell's Old Boys, Ignacio Scocco, Argentina
 Bundesliga, SV Werder Bremen, Thomas Delaney, Denmark
 Major League Soccer, Atlanta United FC, Josef Alexander Martínez, Venezuela
 Österreichische Fußball-Bundesliga, FC Red Bull Salzburg, Takumi Minamino, Japan
 Hyundai A-League, Melbourne Victory, Besart Berisha, Albania
 Bundesliga, 1. FC Köln, Yūya Ōsako, Japan
 Bundesliga, SV Werder Bremen, Serge Gnabry, Germany
 Allsvenskan, Östersunds FK, Saman Ghoddos, Sweden
 Alka Superliga, LA Galaxy, Robbie Keane, Republic of Ireland
 Süper Lig, Fenerbahçe SK, Mehmet Topal, Turkey
 Bundesliga, FC Augsburg, Daniel Baier, Germany
 Premier League, Tottenham Hotspur, Michel Vorm, Holland
 Premier League, Leicester City, Robert Huth, Germany
 LaLiga Santander, Granada CF, Guillermo Ochoa, Mexico
 Calcio A, Milan, José Sosa, Argentina
 Süper Lig, Fenerbahçe SK, Volkan Demirel, Turkey
 Premier League, Manchester City, Jesús Navas, Spain
 LaLiga Santander, Villarreal CF, Soldado, Spain
 Sogaz Russian Football Championship, CSKA Moscow, Igor Akinfeev, Russia
 Premier League, Manchester City, Gaël Clichy, France
 Liga NOS, FC Porto, Héctor Herrera, Mexico
 Sogaz Russian Football Championship, FC Krasnodar, Andreas Granqvist, Sweden
 Premier League, Arsenal, Mathieu Debuchy, France
 Premier League, West Bromwich Albion, Ben Foster, England
 Premier League, Swansea City, Łukasz Fabiański, Poland
 Calcio A, Lazio, Dušan Basta, Serbia
 LaLiga Santander, Villarreal CF, Jonathan dos Santos, Mexico
